"id","created","reporting_user_id","reported_user_id","reason_id","comment","id","localizable_string_name"
367914,"2017-04-02 00:10:20.993854",2934248,2243372,3,"",3,"ReportReason_3"
387507,"2017-05-11 00:19:06.638295",3287280,124990,1,"",1,"ReportReason_1"
346009,"2017-01-25 17:28:27.684896",3071162,269248,6,"",6,"ReportReason_6"
323322,"2016-12-06 05:10:08.754099",2767460,2916503,6,"Profile is obviously fake",6,"ReportReason_6"
257330,"2016-09-01 04:45:11.144797",2566127,561007,6,"",6,"ReportReason_6"
271259,"2016-09-19 23:23:33.588682",2566127,561007,1,"",1,"ReportReason_1"
328361,"2016-12-18 15:53:58.604507",2767460,2955827,2,"",2,"ReportReason_2"
381231,"2017-04-28 01:05:53.230836",2318528,3304377,2,"",2,"ReportReason_2"
318543,"2016-11-25 21:41:03.8059",616800,2843984,5,"",5,"ReportReason_5"
309691,"2016-11-09 02:35:01.860892",2788515,2686369,5,"",5,"ReportReason_5"
372895,"2017-04-15 01:42:21.085869",3099227,2352039,6,"fake age",6,"ReportReason_6"
353985,"2017-02-13 12:32:24.248199",3032805,446970,3,"",3,"ReportReason_3"
348571,"2017-02-01 02:40:19.654531",695257,2946194,5,"",5,"ReportReason_5"
343569,"2017-01-19 14:18:19.00302",118409,2973280,2,"",2,"ReportReason_2"
326822,"2016-12-13 18:37:04.519899",2597552,2856283,2,"",2,"ReportReason_2"
122886,"2016-03-04 13:26:06.840126",1010897,594744,2,"",2,"ReportReason_2"
372141,"2017-04-13 00:32:04.706698",3288716,2337129,4,"",4,"ReportReason_4"
361115,"2017-03-10 07:27:24.211091",3188838,3203027,2,"",2,"ReportReason_2"
361116,"2017-03-10 07:56:05.107762",3095185,3203027,2,"",2,"ReportReason_2"
349977,"2017-02-04 15:18:21.372372",3085672,3095992,2,"",2,"ReportReason_2"
358835,"2017-03-01 16:15:10.572933",2485449,3095992,6,"This is a con artist from Nigeria attempting to scam people with a fake profile.",6,"ReportReason_6"
352103,"2017-02-09 17:15:07.985416",2767460,3111544,2,"",2,"ReportReason_2"
266699,"2016-09-14 09:51:19.118189",425985,2667889,6,"",6,"ReportReason_6"
313383,"2016-11-16 08:16:01.475593",2825237,2740977,6,"repetitive",6,"ReportReason_6"
354601,"2017-02-15 03:29:39.781104",866886,3130773,4,"",4,"ReportReason_4"
354619,"2017-02-15 04:07:58.173123",423079,3130773,4,"",4,"ReportReason_4"
339471,"2017-01-10 05:14:26.19354",2784621,3028254,2,"",2,"ReportReason_2"
339472,"2017-01-10 05:15:27.977859",2720642,3028254,6,"scam artist. sends users to a page to provide a credit card ""check""",6,"ReportReason_6"
339494,"2017-01-10 06:04:59.220174",117577,3028254,6,"scam",6,"ReportReason_6"
120692,"2016-03-02 13:30:25.502793",1051805,551462,1,"",1,"ReportReason_1"
359542,"2017-03-03 20:21:03.897804",2413021,3045866,1,"",1,"ReportReason_1"
232400,"2016-06-30 15:09:28.741189",2378338,154937,4,"",4,"ReportReason_4"
78270,"2016-02-11 14:33:23.503957",744996,548163,4,"",4,"ReportReason_4"
361979,"2017-03-13 05:37:27.769385",3151926,345889,3,"",3,"ReportReason_3"
365403,"2017-03-24 21:50:35.014591",3243499,345889,1,"",1,"ReportReason_1"
104498,"2016-02-13 04:05:49.450247",332357,662361,5,"",5,"ReportReason_5"
