"account_id","notify_text","notify_relationship_status","notify_new_photo","notify_instagram","notify_remote","notify_feeling","last_instagram_notified","last_swipe_notified","remote_notification","powerlike_gift","notify_location","remote_notifications_sent","notify_birthday","birthday_notifications_sent","notify_market","notify_shoutout","xmas_newsletter_sent"
2243372,f,f,f,f,f,f,"","",,t,f,"{10,13,20,21}",f,"{2017}",t,t,
239191,f,f,f,f,f,f,"","2016-02-01 04:50:41",,,f,"",f,"{2017}",f,f,
2987525,t,t,t,t,t,t,"","",,,t,"{16,17,18,20,21}",t,"",t,t,
2990912,t,t,t,t,t,t,"","",,,t,"",t,"{2017}",t,t,
3047908,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
2757740,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"{2017}",t,t,
2402765,t,t,t,t,t,t,"","",,,t,"{10,11,12,13,14,20,21}",t,"",t,t,
3218937,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
3138374,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
2602100,t,t,t,t,t,t,"","",,,t,"{10,13,20,21}",t,"{2016}",t,t,
3301151,t,t,t,t,t,t,"","",,,t,"{21}",t,"",t,t,
3372095,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
2082098,t,t,t,t,t,t,"","",,t,t,"",t,"{2017}",t,t,t
294483,f,f,f,f,f,f,"","2016-02-01 08:26:09",,,t,"{10,13,20,21}",t,"",t,t,
124990,t,t,t,t,t,t,"","2016-01-31 18:13:43",,,t,"{10,13,16,17,18,20,21}",t,"{2017}",t,t,t
3228297,t,t,t,t,t,t,"","",,,t,"{18,20,21}",t,"",t,t,
2465892,t,t,t,t,t,t,"","",,,t,"{10,13,16,17,18,20,21}",t,"{2016}",t,t,
2171011,t,t,t,t,t,t,"","",,t,t,"{20,21}",t,"",t,t,
2575257,t,t,t,t,t,t,"","",,,t,"{10,13,20,21}",t,"",t,t,
493269,t,t,t,t,t,t,"","2016-02-01 08:26:13",,,t,"{10,13,18,20,21}",t,"",t,t,
3236495,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
2588724,t,t,t,t,t,t,"","",,,t,"{10,13,16,17,18,20,21}",t,"{2016}",t,t,
869593,t,f,f,f,f,f,"","2016-01-31 01:25:17",,t,t,"{10,13,16,17,18,20,21}",t,"",t,t,
3105583,t,t,t,t,t,t,"","",,,t,"{18,20,21}",t,"{2017}",t,t,t
2982113,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
3129350,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
2917809,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
338303,t,t,t,t,t,t,"","2016-02-01 09:23:38",,,t,"{10,13,18,20,21}",t,"",t,t,
2026998,t,t,t,t,t,t,"","",,t,t,"",t,"",t,t,
159915,t,f,f,f,f,t,"","2016-02-01 04:15:46",,,t,"{10,13,20,18,21}",t,"{2017}",t,t,
3073315,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
3071349,t,t,t,t,t,t,"","",,,t,"{18,20}",t,"{2017}",t,t,
3159403,t,t,t,t,t,t,"","",,,t,"{18,20,21}",t,"{2017}",t,t,
2402684,t,t,t,t,t,t,"","",,,t,"{10,16,17,18,21}",t,"",t,t,t
2923424,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
3248160,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
3035806,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"{2017}",t,t,
3276625,t,t,t,t,t,t,"","",,,t,"{21}",t,"",t,t,t
585847,t,t,t,t,t,t,"","2016-02-01 06:53:05",,,t,"",t,"{2017}",t,t,
3291130,t,t,t,t,t,t,"","",,,t,"{18,21}",t,"",t,t,
3362277,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
2940692,t,t,t,t,t,t,"","",,,t,"{16,17,18}",t,"",t,t,t
2571838,t,t,t,t,t,t,"","",,,t,"{10,13,16,17,18,20,21}",t,"",t,t,
2906293,t,t,t,t,t,t,"","",,,t,"{16,17,18,20,21}",t,"{2017}",t,t,
3388045,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
2528542,t,t,t,t,t,t,"","",,,t,"{18,21}",t,"",t,t,
3093996,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
3040460,t,t,t,t,t,t,"","",,,t,"{16,17,18,20,21}",t,"",t,t,
3269051,t,t,t,t,t,t,"","",,,t,"{18,21}",t,"",t,t,
2994050,t,t,t,t,t,t,"","",,,t,"{21}",t,"{2017}",t,t,
424242,t,t,t,t,t,t,"","2016-02-01 04:53:01",,,t,"",t,"{2017}",t,t,
269248,t,t,t,t,t,t,"","2016-02-01 04:17:47",,,t,"{10,13}",t,"{2017}",t,t,
3371696,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
3033872,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
2916503,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
2922787,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
2996650,f,f,f,f,f,f,"","",,,f,"{18,20,21}",f,"",f,f,
480123,f,t,t,t,t,t,"","2016-02-01 03:40:11",,,t,"",t,"",t,t,
2945856,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
2535627,t,t,t,t,t,t,"","",,,t,"{10,13,18,20,21}",t,"",t,t,
3385287,t,t,t,t,t,t,"","",,,t,"{18}",t,"",t,t,
3211784,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"{2017}",t,t,
2769364,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
3190466,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
2698404,t,t,t,t,t,t,"","",,,t,"{13,16,17,18,20,21}",t,"",t,t,
3029367,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
3051130,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
3088780,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
2060003,t,t,t,t,t,t,"","",,t,t,"{10,13,20,21}",t,"",t,t,t
3351797,t,t,t,t,t,t,"","",,t,t,"",t,"",t,t,t
2986946,t,t,t,t,t,t,"","",,,t,"{18,20,21}",t,"",t,t,
3358696,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
2039616,t,t,t,t,t,t,"","",,t,t,"{10,13,16,17,18,20,21}",t,"{2017}",t,t,
2806637,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"{2017}",t,t,
2890371,t,t,t,t,t,t,"","",,,t,"{16,17,18,20,21}",t,"",t,t,t
2573794,t,t,t,t,t,t,"","",,,t,"{10,13,20,21}",t,"",t,t,
371739,t,f,f,f,f,t,"","2016-01-31 23:16:41",,,t,"{10,13,20,21}",t,"{2017}",t,t,
638598,t,t,t,t,t,t,"","2016-01-31 02:43:40",,t,t,"",t,"{2017}",t,t,
2510058,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"{2017}",t,t,
2949837,t,t,t,t,t,t,"","",,,t,"",t,"{2017}",t,t,
1006624,t,t,t,t,t,t,"","",,t,t,"{10,13,20,21}",t,"{2016}",t,t,
324179,t,f,f,f,f,f,"","2016-02-01 00:01:32",,,f,"{10,13,20,21}",f,"{2016}",f,t,
893247,f,t,t,t,t,t,"","2016-01-31 16:52:13",,t,t,"{10,13,20,21}",t,"",t,t,
2419528,t,t,t,t,t,t,"","",,,t,"{10,13,20}",t,"{2017}",t,t,
